Sunday Dinner * / Supper ** ,Portion Size,Mech Soft,Pureed,Diet,HC Prep,Leftover,BB Prep ,Leftover,Buckley,Leftover,,,,,
* Raspberry Chicken,4 oz.,Ground,1 Serve,,,,,,,,,,,,
** Roast Beef,4 oz.,Ground,1 serve ,,,,,,,,,,,,
* Hashbrown Potato Casserole,1/2 C. ,,1 Serve,,,,,,,,,,,,
Twice Baked Potato,1/2 - 110 ct.,,,,,,,,,,,,,,
* Dilled carrots,1/2 C.,,1 serve,,,,,,,,,,,,
** Scalloped Corn,1/2 C.,,1 serve ,,,,,,,,,,,,
** Gravy,1 oz.,,1 serve ,,,,,,,,,,,,
,,,,,,,,,,,,,,,
*/** Bread Basket,1 Slice,,Crumbs,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Soup of the Day 1 ,1 C.,,,,,,,,,,,,,,
Soup of the Day 2,1 C. ,,,,,,,,,,,,,,
Cheeseburger,4 oz,Ground,,,,,,,,,,,,,
Grilled Cheese,1 oz/ 1 slice,,,,,,,,,,,,,,
Grilled Ham & Cheese,2 oz/1 oz/ 1 slice,,,,,,,,,,,,,,
Mushroom & Swiss Burger,4 oz,,,,,,,,,,,,,,
Chili Dog,4 oz/2 oz,,,,,,,,,,,,,,
Joy's Asian Salad,4 oz,,,,,,,,,,,,,,
Chef Salad,4 oz,,,,,,,,,,,,,,
* Fresh Fruit,1/2 C.,,1 serve ,,,,,,,,,,,,
** Canned Fruit or Salad,1/2 C.,,1 serve ,,,,,,,,,,,,
Cottage Cheese,1/2 C.,,,,,,,,,,,,,,
Apple Sauce ,1/2 C.,,,,,,,,,,,,,,
Tossed Salad,1 C.,,,,,,,,,,,,,,
Vegetable Salad,1/2 C.,,,,,,,,,,,,,,
*/** Dessert,1 serving,,1 serve ,1/2 serve,,,,,,,,,,,
,,,,,,,,,,,,,,,
CYCLE: SEVEN,,,,,Approved: ,,,,,,,,,,
Monday Dinner */Supper** ,Portion Size,Mech Soft,Pureed,Diet,HC Prep,Leftover,BB Prep ,Leftover,Buckley ,Leftover,,,,,
* Braised Pork Roast,4 oz.,Ground,1 serve,,,,,,,,,,,,
Tangerine Beef,4 oz.,Ground,,,,,,,,,,,,,
* Dressing,1/2 C.,,1 Serve,,,,,,,,,,,,
* Gravy,1 oz.,,1 serve ,,,,,,,,,,,,
Roasted Red Potato,1/2 C.,,,,,,,,,,,,,,
*Nantucket Vegetable Blend,1/2 C.,,1 Serve,,,,,,,,,,,,
Squash and Apples,1/2 C.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
*/**Bread Basket,1 Slice,,Crumbs,,,,,,,,,,,,
,,,,,,,,,,,,,,,
**Soup of the Day 1,1 C.,,1 serve ,,,,,,,,,,,,
Soup of the Day 2,1 C.,,,,,,,,,,,,,,
Cheeseburger,4 oz,,,,,,,,,,,,,,
Grilled Cheese,1 oz/1 slice,,,,,,,,,,,,,,
** Grilled Ham & Cheese,2 oz/1 oz/1 slice,ground ,1 serve ,,,,,,,,,,,,
Mushroom & Swiss Burger,4 oz,,,,,,,,,,,,,,
Chili Dog,4 oz/ 2 oz,,,,,,,,,,,,,,
Joy's Asian Salad,4 oz,,,,,,,,,,,,,,
Chef Salad,4 oz,,,,,,,,,,,,,,
Fresh Fruit,1/2 C.,,,,,,,,,,,,,,
* Canned Fruit or Salad,1/2 C.,,1 serve ,,,,,,,,,,,,
Cottage Cheese,1/2 C.,,,,,,,,,,,,,,
Apple Sauce,1/2 C.,,,,,,,,,,,,,,
Tossed Salad,1 C.,,,,,,,,,,,,,,
** Vegetable Salad,1/2 C.,,1 serve ,,,,,,,,,,,,
*/** Dessert,1 serving,,1 serve,1/2 serve ,,,,,,,,,,,
,,,,,,,,,,,,,,,
CYCLE: SEVEN,,,,,Approved:,,,,,,,,,,
Tuesday Dinner */Supper** ,Portion Size,Mech Soft,Pureed,Diet,HC Prep,Leftover,BB Prep ,Leftover,Buckley Prep,Leftover,,,,,
* Ham,4 oz.,Ground,1 Serve,,,,,,,,,,,,
**Chicken Enchilada,6 oz. ,Ground,1 serve ,,,,,,,,,,,,
* Buttered Noodles,1/2 C.,,1 serve ,,,,,,,,,,,,
** Spanish Rice,1/2 C.,,1 serve ,,,,,,,,,,,,
* Sugar Snap Peas,1/2 C.,Peas,1 serve,,,,,,,,,,,,
